v8-version,11,8,172,17,-node.20,0
v8-platform,macos,macos
shared-library,/opt/homebrew/Cellar/node/21.7.1/bin/node,0x109550000,0x10a43f424,78266368
shared-library,/opt/homebrew/Cellar/libuv/1.48.0/lib/libuv.1.dylib,0x2106fcda0,0x210714690,4432838656
shared-library,/opt/homebrew/Cellar/brotli/1.1.0/lib/libbrotlidec.1.1.0.dylib,0x2106b4348,0x2106ba358,4432691200
shared-library,/opt/homebrew/Cellar/brotli/1.1.0/lib/libbrotlienc.1.1.0.dylib,0x2108b4cb4,0x2108ee880,4433739776
shared-library,/opt/homebrew/Cellar/c-ares/1.27.0/lib/libcares.2.12.0.dylib,0x2107db7f4,0x2107f28d4,4433297408
shared-library,/opt/homebrew/Cellar/libnghttp2/1.60.0/lib/libnghttp2.14.dylib,0x2109f4410,0x210a07678,4434395136
shared-library,/opt/homebrew/Cellar/openssl@3/3.2.1/lib/libcrypto.3.dylib,0x21126c000,0x2114663d0,4438835200
shared-library,/opt/homebrew/Cellar/openssl@3/3.2.1/lib/libssl.3.dylib,0x210be95f8,0x210c55e50,4435427328
shared-library,/opt/homebrew/Cellar/icu4c/74.2/lib/libicui18n.74.2.dylib,0x211ff4b6c,0x21214e910,4445929472
shared-library,/opt/homebrew/Cellar/icu4c/74.2/lib/libicuuc.74.2.dylib,0x211a716e0,0x211b415dc,4443045888
shared-library,/opt/homebrew/Cellar/icu4c/74.2/lib/libicudata.74.2.dylib,0x2160b4a50,0x2160b4a50,4479877120
shared-library,/usr/lib/libz.1.dylib,0x194aeda50,0x194af9178,66453504
shared-library,/usr/lib/libSystem.B.dylib,0x194bab4d4,0x194babaec,66453504
shared-library,/usr/lib/system/libcache.dylib,0x194ba55e0,0x194ba8370,66453504
shared-library,/usr/lib/system/libcommonCrypto.dylib,0x194b605e8,0x194b6b9d4,66453504
shared-library,/usr/lib/system/libcompiler_rt.dylib,0x194b8b980,0x194b8e834,66453504
shared-library,/usr/lib/system/libcopyfile.dylib,0x194b8254c,0x194b88f20,66453504
shared-library,/usr/lib/system/libcorecrypto.dylib,0x188073e40,0x1880f213c,66453504
shared-library,/usr/lib/system/libdispatch.dylib,0x18814a2a0,0x188186d40,66453504
shared-library,/usr/lib/system/libdyld.dylib,0x1883058f0,0x188327f58,66453504
shared-library,/usr/lib/system/libkeymgr.dylib,0x194b9a760,0x194b9ae48,66453504
shared-library,/usr/lib/system/libmacho.dylib,0x194b3a5ac,0x194b3e87c,66453504
shared-library,/usr/lib/system/libquarantine.dylib,0x1940cdb44,0x1940cfb58,66453504
